GeneLabel,EmpiricalSpearman,SA_CorrectedPval,FDRandSA_Corrected
AGBL4,0.2048844884488448,0.136,1.0
AGBL5,0.1768856885688569,0.181,1.0
AGER,-0.0453045304530453,0.743,1.0
AGFG1,0.0805040504050405,0.562,1.0
AGFG2,-0.1674887488748874,0.331,1.0
AGGF1,0.0054365436543654,0.963,1.0
AGK,0.151059105910591,0.248,1.0
AGL,0.0102010201020101,0.936,1.0
AGMAT,-0.0634503450345034,0.729,1.0
AGO1,0.0246624662466246,0.912,1.0
AGO2,0.0809240924092409,0.589,1.0
AGO3,-0.0259945994599459,0.868,1.0
AGO4,0.0516531653165316,0.835,1.0
AGPAT1,-0.1452865286528652,0.221,1.0
AGPAT3,-0.1584638463846384,0.339,1.0
AGPAT4,-0.0088568856885688,0.946,1.0
AGPAT4-IT1,0.0559855985598559,0.561,1.0
AGPAT5,-0.3406660666066606,0.002,1.0
AGPS,-0.0057605760576057,0.964,1.0
AGRN,0.1757215721572157,0.162,1.0
AGT,-0.1531713171317131,0.215,1.0
AGTPBP1,0.1324932493249324,0.424,1.0
AGTRAP,-0.1442304230423042,0.171,1.0
AGXT,0.0129012901290129,0.911,1.0
AHCTF1,-0.0407440744074407,0.814,1.0
AHCY,-0.0574257425742574,0.657,1.0
AHCYL1,-0.113099309930993,0.493,1.0
AHCYL2,-0.1153195319531952,0.595,1.0
AHDC1,-0.0613381338133813,0.695,1.0
AHI1,0.1382898289828982,0.551,1.0
AHNAK,-0.0721392139213921,0.702,1.0
AHNAK2,0.1009300930093009,0.636,1.0
AHR,0.1067986798679867,0.528,1.0
AHRR,-0.0366396639663966,0.845,1.0
AHSA1,0.0381278127812781,0.823,1.0
AHSA2P,0.1187278727872787,0.278,1.0
AHSG,0.2572337233723372,0.04,1.0
AIDA,-0.0873927392739273,0.536,1.0
AIF1,-0.0922172217221722,0.635,1.0
AIF1L,-0.017077707770777,0.923,1.0
AIFM1,0.0333873387338733,0.862,1.0
AIFM2,0.0216141614161416,0.871,1.0
AIFM3,-0.0995859585958595,0.656,1.0
AIG1,0.0285748574857485,0.873,1.0
AIM2,-0.0489768976897689,0.799,1.0
AIMP1,0.1322652265226522,0.264,1.0
AIMP2,-0.0779357935793579,0.649,1.0
AIP,0.1101470147014701,0.459,1.0
AIRE,-0.2133573357335733,0.363,1.0
AJAP1,0.0585418541854185,0.613,1.0
AJM1,-0.0288628862886288,0.769,1.0
AK1,-0.2363756375637563,0.119,1.0
AK2,0.0567176717671767,0.779,1.0
AK3,-0.2098289828982898,0.145,1.0
AK4,-0.2067686768676867,0.29,1.0
AK5,-0.0238943894389438,0.899,1.0
AK6,-0.0602100210021002,0.669,1.0
AK8,-0.175037503750375,0.251,1.0
AK9,-0.1082388238823882,0.563,1.0
AKAIN1,-0.0051125112511251,0.983,1.0
AKAP1,-0.1221242124212421,0.424,1.0
AKAP10,-0.0107890789078907,0.936,1.0
AKAP11,0.0882208220822082,0.54,1.0
AKAP12,-0.1164596459645964,0.594,1.0
AKAP13,0.0252025202520252,0.903,1.0
AKAP17A,-0.091065106510651,0.543,1.0
AKAP5,-0.0176657665766576,0.897,1.0
AKAP6,0.1043744374437443,0.472,1.0
AKAP7,-0.0849084908490848,0.692,1.0
AKAP8,0.3005580558055805,0.07,1.0
AKAP8L,0.023030303030303,0.885,1.0
AKAP9,0.1342094209420942,0.332,1.0
AKIP1,0.1878787878787878,0.195,1.0
AKIRIN1,-0.2085208520852084,0.248,1.0
AKIRIN2,-0.0953735373537353,0.642,1.0
AKR1A1,0.0078607860786078,0.954,1.0
AKR1B1,-0.0375757575757575,0.804,1.0
AKR1C1,-0.1317251725172517,0.514,1.0
AKR1C3,-0.1619801980198019,0.414,1.0
AKR1C4,-0.1514551455145514,0.442,1.0
AKR1E2,-0.0531893189318931,0.724,1.0
AKR7A2,-0.1918631863186318,0.282,1.0
AKR7A2P1,0.0283588358835883,0.853,1.0
AKR7A3,-0.2536213621362136,0.121,1.0
AKR7L,-0.2396999699969997,0.144,1.0
AKT1,-0.1215601560156015,0.431,1.0
AKT1S1,-0.0324992499249924,0.817,1.0
AKT2,0.0323792379237923,0.849,1.0
AKT3,0.0436723672367236,0.821,1.0
AKTIP,-0.1358895889588958,0.404,1.0
ALAD,-0.0664386438643864,0.671,1.0
ALAS1,0.0157815781578157,0.922,1.0
ALAS2,-0.0434443444344434,0.734,1.0
ALB,-0.2443204320432042,0.061,1.0
ALCAM,-0.069066906690669,0.708,1.0
ALDH16A1,-0.0048244824482448,0.968,1.0
ALDH18A1,-0.2003360336033603,0.179,1.0
